FID,Prov_ID,Province,Dist_ID,District,Sect_ID,Sector,nightlight_sum,landscan_pop,mpi_headcount,mpi_intensity,mpi,,,,,,,,,,,,,,
99,2,Southern Province,25,Nyamagabe,2514,Mushubi,1.105452207,14989,0.382,0.446,0.17,,,,,,,,,,,,,,
100,2,Southern Province,25,Nyamagabe,2515,Nkomane,4.34702191,17426,0.522,0.463,0.242,,,,,,,,,,,,,,
101,2,Southern Province,25,Nyamagabe,2516,Tare,39.30692085,21975,0.433,0.445,0.193,,,,,,,,,,,,,,
102,2,Southern Province,25,Nyamagabe,2517,Uwinkingi,3.360571178,23053,0.467,0.45,0.21,,,,,,,,,,,,,,
103,2,Southern Province,26,Ruhango,2601,Bweramana,10.40651901,35277,0.297,0.439,0.13,,,,,,,,,,,,,,
104,2,Southern Province,26,Ruhango,2602,Byimana,13.39944704,39583,0.276,0.431,0.119,,,,,,,,,,,,,,
105,2,Southern Province,26,Ruhango,2603,Kabagali,5.557843161,24615,0.39,0.436,0.17,,,,,,,,,,,,,,
106,2,Southern Province,26,Ruhango,2604,Kinazi,18.69482097,50218,0.462,0.457,0.211,,,,,,,,,,,,,,
107,2,Southern Province,26,Ruhango,2605,Kinihira,3.247154143,25203,0.315,0.441,0.139,,,,,,,,,,,,,,
108,2,Southern Province,26,Ruhango,2606,Mbuye,5.024760055,42358,0.444,0.46,0.204,,,,,,,,,,,,,,
109,2,Southern Province,26,Ruhango,2607,Mwendo,1.535712237,26219,0.331,0.428,0.142,,,,,,,,,,,,,,
110,2,Southern Province,26,Ruhango,2608,Ntongwe,9.734471749,30967,0.482,0.457,0.22,,,,,,,,,,,,,,
111,2,Southern Province,26,Ruhango,2609,Ruhango,295.7972677,74297,0.331,0.44,0.146,,,,,,,,,,,,,,
112,2,Southern Province,27,Muhanga,2701,Cyeza,13.19213686,31347,0.249,0.42,0.105,,,,,,,,,,,,,,
113,2,Southern Province,27,Muhanga,2702,Kabacuzi,5.118914578,30841,0.302,0.419,0.126,,,,,,,,,,,,,,
114,2,Southern Province,27,Muhanga,2703,Kibangu,2.266903387,22906,0.322,0.421,0.135,,,,,,,,,,,,,,
115,2,Southern Province,27,Muhanga,2704,Kiyumba,5.088190303,23021,0.27,0.415,0.112,,,,,,,,,,,,,,
116,2,Southern Province,27,Muhanga,2705,Muhanga,10.59275948,30017,0.367,0.431,0.158,,,,,,,,,,,,,,
117,2,Southern Province,27,Muhanga,2706,Mushishiro,31.44180834,18786,0.299,0.442,0.132,,,,,,,,,,,,,,
118,2,Southern Province,27,Muhanga,2707,Nyabinoni,3.878461768,17512,0.46,0.446,0.205,,,,,,,,,,,,,,
119,2,Southern Province,27,Muhanga,2708,Nyamabuye,114.1395224,56366,0.14,0.42,0.059,,,,,,,,,,,,,,
120,2,Southern Province,27,Muhanga,2709,Nyarusange,3.440815418,29081,0.354,0.436,0.154,,,,,,,,,,,,,,
121,2,Southern Province,27,Muhanga,2710,Rongi,4.462714217,36998,0.408,0.442,0.18,,,,,,,,,,,,,,
122,2,Southern Province,27,Muhanga,2711,Rugendabari,2.629041876,21408,0.313,0.427,0.134,,,,,,,,,,,,,,
123,2,Southern Province,27,Muhanga,2712,Shyogwe,62.40656879,43892,0.254,0.424,0.108,,,,,,,,,,,,,,
124,2,Southern Province,28,Kamonyi,2801,Gacurabwenge,18.16375977,32323,0.244,0.433,0.106,,,,,,,,,,,,,,
125,2,Southern Province,28,Kamonyi,2802,Karama,5.044642265,22547,0.253,0.431,0.109,,,,,,,,,,,,,,
126,2,Southern Province,28,Kamonyi,2803,Kayenzi,7.291016021,24857,0.223,0.423,0.094,,,,,,,,,,,,,,
127,2,Southern Province,28,Kamonyi,2804,Kayumbu,2.382464104,19206,0.295,0.418,0.124,,,,,,,,,,,,,,
128,2,Southern Province,28,Kamonyi,2805,Mugina,10.84580229,43421,0.381,0.441,0.168,,,,,,,,,,,,,,
129,2,Southern Province,28,Kamonyi,2806,Musambira,9.872538262,36795,0.302,0.445,0.134,,,,,,,,,,,,,,
